Index,Location,Photo Link,Date,Instructions,Budget,Suggested Items,Affiliate Links
1,Home,https://images.unsplash.com/photo-1587314168485-3236d6710814?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1270&q=80,"Make Dessert, with a twist!",Blindfold your significant other and be their eyes. Build trust in this quirky cooking experiment. Choose yours and your partners favorite dessert and enjoy laughs as you help your partner make a delicious treat while igniting some romantic flames. Pair with wine and enjoy. Take photos and post to your memory!,Low,Blindfold,https://www.amazon.com/s?k=blindfold&ref=nb_sb_noss_2
2,Outdoors,https://images.unsplash.com/photo-1590166771575-5a50c6dd507b?ixlib=rb-1.2.1&ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&auto=format&fit=crop&w=1235&q=80,Picnic in the park,Every one loves a romantic picnic meant for watching the sunset. Pick your favorite spot and bring some light music and a bottle of win to set the mood.,Low,Picnic Backpack,https://www.amazon.com/s?k=picnic&ref=nb_sb_noss_2
3,Outdoors,https://images.unsplash.com/photo-1534817549988-aa0050486367?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1234&q=80,Do some stargazing,"Get a book on constellations, aim your telescope at the stars see how many you can pick out.",Low,"Stargazing book, Telescope",https://www.amazon.com/s?k=stargazing&ref=nb_sb_noss_2
5,Home,https://images.unsplash.com/photo-1599751496697-7966846321cf?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1305&q=80,Have a photoshoot,Have a shameless evening of movie montage fashion show. Go through your significant other's wardrobe and pick outfits for him/her to strut their stuff around the living room. Use your phone camera and your imagination. If you want to be extra arttistic buy a polaroid and begin and cute polaroid wall of you and your significant other.,Medium,Polaroid Camera,https://www.amazon.com/s?k=polaroid+camera&ref=nb_sb_noss_1
6,Outdoors,https://images.unsplash.com/photo-1601418630998-e82ea37daf66?ixlib=rb-1.2.1&ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&auto=format&fit=crop&w=1234&q=80,Go Rock Climbing,Feeling adventurous? Find a rock climbing gym or quarry,Medium,Climbing shoes,https://www.amazon.com/s?k=climbing+shoes&ref=nb_sb_noss_2
7,Home,https://images.unsplash.com/photo-1556910103-1c02745aae4d?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,Cooking with Sous Vide,Want to be a top chef? Get out the Sous Vide and try a something outside your comfort zone. Pick out each others out fit and have a dinner date in style with a black tie and gown theme.,High,Sous Vide,https://www.amazon.com/s?k=sous+vide&ref=nb_sb_noss_2
8,Outdoors,https://images.unsplash.com/photo-1579479942791-76a0a658faa2?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1234&q=80,Go Ice Skating,Find a local public rink and enjoy to time on the ice. Bundle up in your favorite hoodies and outerware.,Medium,Ice Skates,https://www.amazon.com/s?k=ice+skates&ref=nb_sb_noss_1
9,Outdoors,https://images.unsplash.com/photo-1468888702840-41a24ac1a9f9?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1266&q=80,Have a Water Balloon Fight,Remember being a kid? Why not make an afternoon out of water balloon or water gun fights. Keep in mind this date idea can go by quick so definitely make a plan to follow up with sun bathing and relaxation.,Low,"Sunscreen, Waterballoons, Water guns",https://www.amazon.com/s?k=water+gun&ref=nb_sb_noss_2
10,Outdoors,https://images.unsplash.com/photo-1595435742656-5272d0b3fa82?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1300&q=80,Plan a playdate on the Tennis Courts,Looking for some friendly competition with your significant other. Maybe you feel like settling a score. Tennis is the game for you! Challenge,Medium,Tennis Racket,https://www.amazon.com/s?k=tennis&ref=nb_sb_noss_2
11,Outdoors,https://images.unsplash.com/photo-1562206513-6a81cfc73936?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,Go Camping,"Are you and your significant other outdoorsy? Grab a tent, smores, a flashlight, and you imagination for scary stories. Make finger puppets in the night after the sun goes down and enjoy a night away from technology and the business of everyday life.",Medium,"Tent, Flashlight",https://www.amazon.com/s?k=camping&ref=nb_sb_noss_2
12,Home,https://images.unsplash.com/photo-1569309338532-a0c01062acc8?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,Be Artists,Painting or drawing can be a creative outlet for your partner and you to share some laughs. Find your favorite photo or photos of your pets and make a masterpiece. Collaborate or compete to be the best artist.,Medium,"Paint, Paintbrush, Canvas, Colored Pencils",https://www.amazon.com/s?k=drawing&ref=nb_sb_noss_2
13,Home,https://images.unsplash.com/photo-1571397872194-0ad8fbafe058?ixlib=rb-1.2.1&ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&auto=format&fit=crop&w=1050&q=80,Puzzle night,Like to solve problems? A puzzle could be just the thing for a night in after the kids have to sleep or a casual Saturday night.,Low,Puzzles,https://www.amazon.com/s?k=puzzles&ref=nb_sb_noss_2
14,Home,https://images.unsplash.com/photo-1530328411047-7063dbd29029?ixlib=rb-1.2.1&ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&auto=format&fit=crop&w=1051&q=80,Play Board Games!,"Whether it's Monopoly, Life, Boggle, Yahtzee, Throw Throw Burrito, Hungry Hungry Hippo, or any number of other games available plan for some popcorn and a night of mental warfare. Spice up your night with a friendly bet on who might win.",Medium,Board Games,https://www.amazon.com/s?k=board+games&ref=nb_sb_noss_1
15,Home,https://images.unsplash.com/photo-1521610142770-4f09a2cdb252?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,Try Face Painting!,It doesn't have to be Halloween to goof around with your partner and try some face painting. Get the make up kit and go to town on one another.,Low,Face Paint,https://www.amazon.com/s?k=face+paint&ref=nb_sb_noss_2
16,Home,https://images.unsplash.com/photo-1475721027785-f74eccf877e2?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,Karaoke Night!,Why play carpool karaoke alone when you can do it for date night from the comfort of your couch! Sing each other some love ballads over a homecooked meal and some drinks!,Medium,Karaoke Machine,https://www.amazon.com/s?k=karaoke+machine&crid=2FIXK3UAQM8A9&sprefix=karaoke+%2Caps%2C176&ref=nb_sb_ss_ts-a-p_1_8
17,Outdoors,https://images.unsplash.com/photo-1576220258822-153014832245?ixlib=rb-1.2.1&ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&auto=format&fit=crop&w=1064&q=80,Take up Golfing for a Day,"Whether you're an athletic and coordinated couple or nerdy with no muscle strength golf is a game everyone can enjoy. Go in with no expectations, rent or buy a few clubs, bring some extra golf balls, and a good attidute and you can enjoy or short front or back nine. Even if you can't hit the ball far taking the golf cart for a spin with a cool beverage in hand is always gauranteed a good time.",Medium,"Golf Balls, Golf Clubs",https://www.amazon.com/s?k=golf&ref=nb_sb_noss_2
18,Outdoors,https://images.unsplash.com/photo-1596546408708-5b58330dbd3c?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,Go Tubing,Is there a river or lake in your area? Buy or rent a tube and get on the water. Bring some waterproof speakers and look for tube with a cup holder for maximum relaxation.,Medium,"WonderBoom, Tube",https://www.amazon.com/s?k=wonderboom&ref=nb_sb_noss_1
19,Home,https://images.unsplash.com/photo-1598252166987-089ce5fb3250?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,Go for a Bike Ride,Get your bikes out of storage and get some mileage in! Find a local trail to ride. Bonus points to bring a GoPro and gather some footage. Put together a cool video of your ride with a nice soundtrack when you get home.,High,GoPro,https://www.amazon.com/s?k=gopro&ref=nb_sb_noss_2
20,Outdoors,https://images.unsplash.com/photo-1605030107971-6cc6fb337d54?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,Try Axe Throwing,Up for some friendly competition while dodging sharp objects? Suit up in your best flannel and give axe throwing a go!,Low,Throwing Axe,https://www.amazon.com/s?k=throwing+axe&ref=nb_sb_noss_2
21,Outdoors,https://images.unsplash.com/photo-1609952769788-d9f867f798c3?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1234&q=80,Hit the slopes!,Winter doesn't mean you can't enjoy the great outdoors. Grab your gear and go skiing or snowboarding. It's a great activity for beginners and experts.,High,"Skis, Snowboard, Wireless Headphones",https://www.amazon.com/s?k=snowboard&ref=nb_sb_noss_1
22,Outdoors,https://images.unsplash.com/photo-1558281050-4c33200099c7?ixlib=rb-1.2.1&ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&auto=format&fit=crop&w=1050&q=80,Kayaking,"Think of it, boats, paddles and a nice flat lake. Breathe in that fresh air and listen to those birds chirping, channel your inner zen",Low,Kayak,https://www.amazon.com/s?k=kayak&ref=nb_sb_noss_2
23,Home,https://images.unsplash.com/photo-1603220064979-23227740e866?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,Yoga,Get uncomfortable then get in your safe space because nothing says I'll do anything for you like transforming yourself into a human pretzel. Namaste.,Low,Yoga Mat,https://www.amazon.com/s?k=yoga&ref=nb_sb_noss_2
24,Outdoors,https://images.unsplash.com/photo-1570472456794-8578e4bf1fab?ixlib=rb-1.2.1&ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&auto=format&fit=crop&w=1234&q=80,Bowling,You might not have done it since you were in middle school but those gutter balls and granny throws lead to a lot of laughs!,Low,Bowling Ball,https://www.amazon.com/s?k=bowling&ref=nb_sb_noss_1
25,Outdoors,https://images.unsplash.com/photo-1480563597043-1c877e682fc7?ixlib=rb-1.2.1&ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&auto=format&fit=crop&w=1050&q=80,Sporting Events,"Baseball, Basketball, Curling? Watch those athletes do their thing but don't forget to dress the part by repping your team's gear from head to toe",Medium,Sports Jersey,https://www.amazon.com/s?k=football+jersey&ref=nb_sb_noss_2
26,Home,https://images.unsplash.com/photo-1461344577544-4e5dc9487184?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1050&q=80,Paint Night,Show your partner your skills by leading an at-home art class or learn from the pros and see whose masterpiece,Low,Canvas Paint,https://www.amazon.com/s?k=canvas+paint&ref=nb_sb_noss_1
27,Home,https://images.unsplash.com/photo-1541996275318-4890e83660a1?ixlib=rb-1.2.1&ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&auto=format&fit=crop&w=1051&q=80,Ice Cream Social,"Whether you call them sprinkles or jimmies, load those babies up on your favorite ice cream and dig in. Take it a step further and make your own ice cream for a fun activity. Yum!",Low,Ice Cream Maker,https://www.amazon.com/s?k=ice+cream+maker&ref=nb_sb_noss_2
28,Home,https://images.unsplash.com/photo-1536440136628-849c177e76a1?ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&ixlib=rb-1.2.1&auto=format&fit=crop&w=1225&q=80,Movie Night,"Watch eachother's number one quoted movie so you can each finally be in on the random references the other makes, just don't forget the popcorn!",Low,"Blanket, Popcorn Maker",https://www.amazon.com/s?k=popcorn+maker&ref=nb_sb_noss_2
31,Outdoors,https://images.unsplash.com/photo-1611153534885-62874a020aef?ixlib=rb-1.2.1&ixid=MXwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHw%3D&auto=format&fit=crop&w=1050&q=80,Play some yard games,Lawn games aren't just for college kids. Grab a cooler and hang out in the yard playing your favorite games.,Medium,"Bocci, KanJam, Cornhole, Spikeball",https://www.amazon.com/s?k=yard+games&ref=nb_sb_noss_1
